,src,trg
0,imagine we on argument you make joke with my dead dog i say shut up because your behaviour i bully you anyway they did not say about bully instead they say hurt it is true his word hurt but at same time word hurt him so where the bully part,imagine we on argument u endla joke na mbyana ya mina leyi feke ndzi ri pfa ndzi miyela hikuva mahanyelo ya wena ndzi ku xanisa anyway a va vulanga hi bully instead they say ku vavisa it is true his word hurt but same time rito ri n'wi vavise so where the bully part
1,yes that was an age joke so what,yes sweswo a ku ri age joke so leswi a swi .
2,is this a joke it is a joke right,xana leswi i joke i joke right .
3,doubt it but is actively one of the least fun ever even as a joke it out quickly,ku kanakana kambe hi ku gingiriteka i yin’wana ya ti-noat fun ever hambi ku ri ku hleka it out hi ku hatlisa .
4,made a joke in have made it a joke,made a joke in va endle xihlekiso .
5,_ when i was younger i thought it was back in the  is military rarely got accepted as leave and had to do it while they were home but now that older i think it as a joke or part of a script and hallmark done took it too far,_ loko ndza ha ri ntsongo a ndzi ehleketa leswaku a swi vuyile eka is masocha a swi tali ku amukeriwa tanihi nkarhi wo wisa naswona ndzi boheke ku swi endla loko va ha ri ekaya kambe sweswi ndzi kurile hi ndlela yoleyo ndzi ehleketa leswaku i xihlekiso kumbe xiphemu xa script naswona hallmark done yi swi teke swi ya kule ngopfu
6,my ex be like crazy on but be telling people he so with me a joke don t tell people about me knowing you moving dirty,my ex be like crazy on but be telling people he so na mina joke a ndzi byeli vanhu hi mina va swi tiva ku u famba dirty
7,you real like to laugh at people as if your entire existence is not ah joke,u real like ku hleka vanhu onge vukona bya wena hinkwabyo a hi ah joke .
8,what a load of complete nonsense our justice system is a complete joke and obviously not fit for purpose,i ndzhwalo wa njhani wa nonsense lowu heleleke wa sisiteme ya hina ya vululami i xihlekiso lexi heleleke naswona swi le rivaleni leswaku a xi faneleki eka xikongomelo .
9,_kevani_ it was a tone deaf joke that no one found funny know ur place,_kevani_ a ku ri tone deaf joke leswaku a ku na munhu loyi a nga kuma ku hlekisa know ur place .
10,hoax these were already to rich we just got waiting room was an absolute joke not normal person a pair you f,hoax leswi se a swi ri swa rich hi lo kuma ntsena waiting room a ku ri absolute joke not normal person a pair you f .
11,i before twitter it to me i thought about it but decided it should stay as testament to the joke not being up to your usual,i before twitter it to me ni hlekete hi swona but decided swi fanele swi tshama tani hi testament ya joke not being up to your usual .
12,resort to the name calling you know and i know most of the committee very little time to seeking the truth they just go on say their peace and stop anyone from saying anything important under oath is another joke,resort to the name calling you know and i know most of the committee swintsongo swinene ku lava ntiyiso lowu va yaka emahlweni va vula ku rhula ka vona va yimisa mani na mani ku vula nchumu wa nkoka ehansi ka xihlambanyo i xihlekiso xin'wana .
13,_crunchynut _cocytus_ you with a joke about an raid with you can t roll over here and act innocent,_crunchynut _cocytus_ wena hi ku hleka hi ku hlasela na wena u nga t roll over laha u endla innocent
