,id,created_at,username,text
0,1549828309302874113,Wed Jul 20 18:47:18 +0000 2022,walford_matt,one of you is going to be the next please for the love of everyone in the world of culture media and sport get rid of
1,1549828305452425217,Wed Jul 20 18:47:17 +0000 2022,Nothanksnevera1,i just love black culture
2,1549828301488902144,Wed Jul 20 18:47:16 +0000 2022,this_is_peebs,how culture can enable narcissism
3,1549828301014896640,Wed Jul 20 18:47:16 +0000 2022,HPPulver,s renowned returned despite the  is and the pandemic meeting a live audience for the first time since in front o
4,1549828285781377024,Wed Jul 20 18:47:12 +0000 2022,Nilanjan120179,what about culture backed by your so government reply this with honesty and courage people are looking at
5,1549828259507949568,Wed Jul 20 18:47:06 +0000 2022,macsdunes,culture is literally racism in every aspect
6,1549828259012960262,Wed Jul 20 18:47:06 +0000 2022,DodgerJam10,_kernan i this is from the republic i can t be the only one who some of these seem to go way over the top with these is it a culture thing or are many of the from the doing it too i m genuinely curious
7,1549828257838776321,Wed Jul 20 18:47:05 +0000 2022,rzevallos,i can no longer be an active participant in any culture or movement that outrage on demand fear and violence segregation history masked as accountability self of racism towards
8,1549828253250199558,Wed Jul 20 18:47:04 +0000 2022,ralph_brooker,in of culture the posting ever would have it in a civvy went to it rip off outer were a week in on the got fed up with yank in the hostel went to
9,1549828241774575616,Wed Jul 20 18:47:01 +0000 2022,benitoangel,cute list but if ben is death in season is not on it move along
10,1549828237248925698,Wed Jul 20 18:47:00 +0000 2022,JCareyAuthor,not funny i just enjoy ancient in pop culture lots of are their on their own maybe callipygian a moment or maybe not
11,1549828234702950400,Wed Jul 20 18:47:00 +0000 2022,DreamSerpentine,needs to be militarily by a superior power and comprehensively have its old culture
12,1549828227371114498,Wed Jul 20 18:46:58 +0000 2022,14Ether,no it s more than that lack of intellectual variety in fighting cancel culture much problem than in the s when the literally to set up a ministry of truth you know you problem i sense you are dismissive of the issue today
13,1549828225295126528,Wed Jul 20 18:46:57 +0000 2022,ObnoxiousBGames,culture at its
14,1549828223382552579,Wed Jul 20 18:46:57 +0000 2022,MPLily26,_weav cancel culture both does and does not exist actually horrible people can keep their but i saw someone get into vanishing from the because someone dug through their and found that they left a like on a when they were
15,1549828216491126784,Wed Jul 20 18:46:55 +0000 2022,hechingerfilms,i literally just remember i am taking a rock music and culture class for college this semester literally they bring up master of oh i will be crying in corner
16,1549828208039628801,Wed Jul 20 18:46:53 +0000 2022,Zrbialk,in general would probably fare better if they into the libertarian side of the culture war and the evangelical one
17,1549828204462047238,Wed Jul 20 18:46:53 +0000 2022,Hobbyknipser1,_es _fr _rf is he a too like war criminal
18,1549828196077633536,Wed Jul 20 18:46:51 +0000 2022,deeeenosaur,this is a person of culture and sophistication
19,1549828191446917122,Wed Jul 20 18:46:49 +0000 2022,carbonellmarck4,_pence what liberal have a policy of hate racial division and cancel culture in direct violation of our us constitution however none of these care about the constitution because all they care is power
20,1549828190633435137,Wed Jul 20 18:46:49 +0000 2022,_KingMimi_,same for you cause u been i cant fight since the beginning not taking your own advice huh thats not in culture maam
