,id,created_at,username,text
0,1549820722591178755,Wed Jul 20 18:17:09 +0000 2022,pebblescat2021,is this a joke
1,1549820719453847553,Wed Jul 20 18:17:08 +0000 2022,markgoldbridge,no cross play on pro is a joke this could be an amazing part of the game but are too interested in fut and taking money
2,1549820718388596739,Wed Jul 20 18:17:08 +0000 2022,BradEdmundson1,it was not a joke it was a comment on the lack of law enforcement most folk with an above understood why did not anyone there get it oh never mind look who i am talking to
3,1549820712478654465,Wed Jul 20 18:17:06 +0000 2022,dolcecazzoalta,no it was just a joke
4,1549820708791803904,Wed Jul 20 18:17:05 +0000 2022,Cathy4MAGA,yeah ai not happen'in what a joke he is
5,1549820700617318402,Wed Jul 20 18:17:03 +0000 2022,Mr_Martinez75,i stoically tried to make it through nearly wavering at 'black pudding' before good old 'pork markets' got me in the last second i mean the whole thing is one big joke but i was really trying
6,1549820698591469573,Wed Jul 20 18:17:03 +0000 2022,HappyMutabazi,and all u do is make happy joke
7,1549820693075742722,Wed Jul 20 18:17:02 +0000 2022,sunflowerlbs,yeah it s a really bad joke i think it s the original is also an edit i don t know for sure and i m too lazy to look into more it s either way
8,1549820686667026436,Wed Jul 20 18:17:00 +0000 2022,nunubabes_,i m glad you re not really mad is a joke please and he s going to play her like a fiddle
9,1549820681373618176,Wed Jul 20 18:16:59 +0000 2022,thanos8699,is this not the worst cabinet top to bottom in the history of the u s they are a joke they can not speak at all when they do it is a bunch of crap
10,1549820679893270537,Wed Jul 20 18:16:59 +0000 2022,MagpiesOk,massive failure from _ncfc unreadable fixture list awful last season was small but this is a complete joke also why did you send a new card i thought we were last plus a digital version which never
11,1549820675933847558,Wed Jul 20 18:16:58 +0000 2022,isabeau___bot,me a and now she and are laughing quite hard am i perhaps missing the joke
12,1549820675887710228,Wed Jul 20 18:16:58 +0000 2022,JoeyWelles1,tell to get well soon brother that monkey pox is no joke
13,1549820675409551361,Wed Jul 20 18:16:57 +0000 2022,nkavad_,i would make a joke about your financial but you are going through a hard time
14,1549820667780104192,Wed Jul 20 18:16:56 +0000 2022,smolbutfeisty,joke s on her i found a loophole by for fun sex with someone i m not married to
15,1549820657730469889,Wed Jul 20 18:16:53 +0000 2022,souraIbum,the joke worked
16,1549820656090599424,Wed Jul 20 18:16:53 +0000 2022,Youthresist,should have read the other before i made this joke
17,1549820653779525632,Wed Jul 20 18:16:52 +0000 2022,chocoIyt,i literally love you do u think this is a joke
18,1549820650407317504,Wed Jul 20 18:16:51 +0000 2022,chinny4OBI,fake and unknown is a joke of a party and from portable to this republic so full of falsehood they have no honor may be from their
19,1549820645806055429,Wed Jul 20 18:16:50 +0000 2022,Ted_Trembley,try making that joke at the
20,1549820642488455168,Wed Jul 20 18:16:50 +0000 2022,MyFlagIsLiberty,oh my god the fruity joke got me so hard
21,1549820638428368897,Wed Jul 20 18:16:49 +0000 2022,olelucylou53,who wrote this what a f joke
22,1549820634645106689,Wed Jul 20 18:16:48 +0000 2022,RUNGREYH0UNDRUN,_stallion i know the joke was like they all start with b s so they just put one in front of meat
23,1549820626801758216,Wed Jul 20 18:16:46 +0000 2022,DanFreakinDavis,and to be clear i do not blame her she works at a county health department and is working with she no ability to change i do fully blame our federal government for completely failing us as always imagine thinking the us is superior we are a joke
24,1549820626738638848,Wed Jul 20 18:16:46 +0000 2022,Ibrahim54ud,_map joke is on you dude it s from one
25,1549820619650486277,Wed Jul 20 18:16:44 +0000 2022,friskycc,is a joke anyways are bigger than you
26,1549820614424367107,Wed Jul 20 18:16:43 +0000 2022,tromploel,i use to hide from the men in my past who remember me as the boy who dressed better than them and was the best artist they knew i wore and suddenly the goat and the god is a joke now i hope they see me all of it
27,1549820614138925056,Wed Jul 20 18:16:43 +0000 2022,ThtBoiiEspee,its da and all but ican not not see as a joke without a pic or of themselves in the profile pic or pinned post or within they media or straight lame to me
28,1549820613044232192,Wed Jul 20 18:16:43 +0000 2022,ocnumber12,what a joke being
29,1549820605322743810,Wed Jul 20 18:16:41 +0000 2022,Too__too,this to be a joke thousand ma dollar here
30,1549820601958895616,Wed Jul 20 18:16:40 +0000 2022,DominiccWalshh,this country is a joke and we are all
31,1549820600335695880,Wed Jul 20 18:16:40 +0000 2022,cloudfelt,it is a joke
32,1549820594975301632,Wed Jul 20 18:16:38 +0000 2022,Astra_Yass,my boss a joke during a meeting and watching her try not to laugh
33,1549820585806598148,Wed Jul 20 18:16:36 +0000 2022,MikeBoard1200,i was trying to figure out who that was i could not hear on the feed but someone in the committee i think it was jokingly an insurrectionist at least i think it was a joke
34,1549820585001320448,Wed Jul 20 18:16:36 +0000 2022,jlukes,i wonder how many style the machine for to use when they are joining it is a joke
35,1549820584770551810,Wed Jul 20 18:16:36 +0000 2022,BigBadDad63,joke butt nothing can not run anything look at the clown show our transportation system is right now
36,1549820581989728256,Wed Jul 20 18:16:35 +0000 2022,OTFkevinp,this show is a joke
37,1549820580005720064,Wed Jul 20 18:16:35 +0000 2022,xxvmsg,them actually being at is than my joke mad at
38,1549820567557128194,Wed Jul 20 18:16:32 +0000 2022,dumbmoneytrader,none of those are going anywhere in my opinion well except for that one is a joke and could easily fizzle out
39,1549820565673893888,Wed Jul 20 18:16:31 +0000 2022,ArgentinoAdrian,and some people are afraid that china will take over the us and dollar will be gone what a joke
40,1549820559445442565,Wed Jul 20 18:16:30 +0000 2022,MiguelD_canes,the guy is a joke
41,1549820557763510273,Wed Jul 20 18:16:29 +0000 2022,Watwhy1,this is a joke
42,1549820554466787330,Wed Jul 20 18:16:29 +0000 2022,irumacore,_blue you have not since and you are on my page to me over a simple joke
43,1549820553267224578,Wed Jul 20 18:16:28 +0000 2022,patrickcotnoir,had a dream that i was on the ballot for mayor i did not sign up someone put me on as a joke i won and i was so mad because i thought i would have to make my twitter private
44,1549820552482799619,Wed Jul 20 18:16:28 +0000 2022,chim0m,dad joke
45,1549820548649287680,Wed Jul 20 18:16:27 +0000 2022,PaigeForExample,it to be a joke that sense
46,1549820548079058944,Wed Jul 20 18:16:27 +0000 2022,crvstycrap,this is a joke
47,1549820544887017472,Wed Jul 20 18:16:26 +0000 2022,edionsenyene,the joke writing itself
48,1549820539820249090,Wed Jul 20 18:16:25 +0000 2022,CaptainObliv24,_p_adour _stache _dd people in glass should not throw this thread was originally about someone is lived in experience so you know people can comment hell you did the exact same yesterday when someone specifically stated was a joke a out his
49,1549820539644133377,Wed Jul 20 18:16:25 +0000 2022,sensei_day,me watching someone else take credit for my joke that no one at
50,1549820537102278657,Wed Jul 20 18:16:24 +0000 2022,BONOLTJIES,gangster and in the same sentence like a joke go
51,1549820534266875910,Wed Jul 20 18:16:24 +0000 2022,goldenddenise,the from baker all the way to was no joke
52,1549820526318817284,Wed Jul 20 18:16:22 +0000 2022,beecoolsis,_ cute _ it was a joke thanks
53,1549820525127532545,Wed Jul 20 18:16:22 +0000 2022,tamara7958,i guess the rising are not the rich what a joke
54,1549820524250931202,Wed Jul 20 18:16:21 +0000 2022,ray_rod20,yeah different like be a serious movie n not make everything a joke a musical is stupid
55,1549820521533132800,Wed Jul 20 18:16:21 +0000 2022,blessinhearts71,the number of smooth brains totally missing the joke me sad that we don t require an intelligence test to vote drive tweet breathe air
56,1549820511059906560,Wed Jul 20 18:16:18 +0000 2022,ashley_stallion,i wish that was actually a joke it is a thing they really do have meat
57,1549820510338416641,Wed Jul 20 18:16:18 +0000 2022,NBAOldGal,i will never understand how public walk away from they should have to respond to every question thrown their way what a joke
58,1549820508899889153,Wed Jul 20 18:16:18 +0000 2022,DarkToonLink_,stray is actually a lot of fun i understand it s not everyone s type of game but it me to talk and joke with you a lot more need more like that
59,1549820508413329410,Wed Jul 20 18:16:18 +0000 2022,cea_forster,you re being ridiculous see i m still here unbelievable i joke about the c word but i really hate thinking about it before
60,1549820505905061888,Wed Jul 20 18:16:17 +0000 2022,Letopete1017,will never ever take on amber turd twice no way not as her client he can not afford her he is a joke n there is far too much evidence proof of being a person to ever give him sole custody of poor prince he to do anything to change for him
